,0
0,Age month
1,C4_ratio distance(h/v)_Left
2,C3_ratio distance(h/v)_Left
3,C4 slope 16-17
4,C2 height 0-2-4
5,C3 distance 5-9
6,C4 height 12-14-16
7,C4 ratio distance
8,C4_AUC
9,C4_Normalized
10,C3 angle 5-7-9
11,C4 distance 12-18
12,C3_Base_Height
13,C3_ratio distance(h/v)_Right
14,C3 ratio distance
15,C4_ratio distance(h/v)_Right
16,C2_AUC
17,C3 height 5-7-9
18,C3_AUC
19,C3 distance 9-10
20,C2_Normalized
21,C3 distance 5-11
22,C3_Normalized
23,C2_Base_Height
24,C4 distance 16-17
25,C2 angle 0-2-4
26,C4_Base_Height
