C2_Base_Height,C3 distance 9-10,C4 distance 16-17,C3 distance 5-11,C2_Normalized,C3 angle 5-7-9,C4 distance 12-18,C3 ratio distance,C4_ratio distance(h/v)_Right,C2 angle 0-2-4,C4 height 12-14-16,C3 height 5-7-9,C2 height 0-2-4,Age month,C4_Base_Height,C4 ratio distance,C2_AUC,C3_ratio distance(h/v)_Left,C4_Normalized,C3_Normalized,C4_AUC,C4 angle 12-14-16,C4_ratio distance(h/v)_Left,C3_ratio distance(h/v)_Right,C3_AUC,C4 slope 16-17,C3_Base_Height,CVMS_Jam
-1.57961701983696,-1.26113421309234,-0.736084618593711,-1.34511043782212,-1.52076398877049,0.716482995951688,-1.35281165797634,0.944312066155567,-1.10650747142163,1.8876656771352,-1.46907271449407,-0.872560839947696,-1.760791533307,-0.801659733293175,-1.48563473345664,-0.619181332103344,-1.43082588943353,-0.780015194482587,-1.53118385864093,-0.798035676620026,-1.40581319073565,1.57102408663717,-0.96902455792068,-1.39518765607711,-0.894490187022568,0.0441990885251512,-0.809624924558499,Class_1
-1.32971119497203,-0.273661034195148,-0.443107298798433,-0.694807966744327,-1.27869964320123,1.43200923234659,-0.577041982983637,-0.64081417035558,-0.813222194857222,1.25613177062151,-0.934390021308726,-1.40420364190815,-1.24477841489194,-1.14965194230984,-1.04804903133023,-0.118141750520915,-1.22079984717489,-0.0256154567648081,-1.05970468709969,-1.41998408732326,-1.05448165256402,0.841846274435173,0.264777888030059,-0.782551353887065,-1.35044789393147,-0.0269709289582285,-1.44037199623187,Class_1
-1.49006424339225,-0.956375765811256,-1.08795365039551,-0.811537670676205,-1.49171626730218,1.47628291675978,-1.04362332916848,0.888564647537259,-1.04791845237784,1.73595386390108,-1.42631853905982,-1.40715698074829,-1.60893974686958,-1.2656493453154,-1.43801315400148,0.86959829429814,-1.36379630147865,-0.561036582137885,-1.3995094954177,-1.34224053598535,-1.29888620085733,1.52083400526649,-0.788150282086339,-0.926045332051214,-1.27115090142557,0.822318668275576,-1.37066316343081,Class_1
-0.908736604847346,-1.08302682884907,-1.26099405555822,-1.35831429424392,-0.852666394999336,1.42599793367575,-0.842748717979644,0.286750921677703,-1.00316198312614,0.566044783407654,-1.29904529004759,-1.36755987564016,-0.684700892631708,-1.52084363192762,-1.29448237955971,1.90878436672993,-0.885651907400452,-1.27564951394052,-1.27633025240242,-1.50636581103204,-1.19577803204609,1.36866997349993,-0.645582677802383,-1.14722041445425,-1.40992063831089,1.02217168484278,-1.54813444307409,Class_1
-1.55665476946652,-0.378674254646965,-0.556549950514365,-0.64179989434547,-1.59822457935266,1.26515023601099,-0.592445206961681,-0.358453835329543,-0.582135127500401,1.58194433929083,-0.963518886135696,-1.2065350640279,-1.51230232884037,-0.708861810888731,-0.762319554599293,0.11641817511144,-1.47551228140346,-0.700597660692455,-0.766623039925413,-1.11332896815708,-0.760432430398638,0.980182636577181,-0.502511389487567,-0.462769833144759,-1.04911932240906,0.798339466480011,-1.15210745092893,Class_1
-1.71241536781265,-0.934933759796495,-1.08605102670654,-1.15477756324931,-1.65147873537789,0.768434074188089,-1.65543754367198,0.208321794420864,-1.38547326893458,1.99440963299208,-0.809872636063526,-0.999006061725887,-1.84119196577886,-1.49764415132651,-1.1179828193413,-0.26143321195716,-1.52913595176737,0.0168168125079304,-1.11067540834739,-1.12196714052796,-1.1041263264361,0.60819781901406,-1.19655260645416,-1.3902788664721,-1.1759945104185,1.16839186089926,-1.16086314973486,Class_1
-1.62707233726919,-0.770857441490204,-0.737705581541909,-0.948121144197892,-1.79187605580807,1.55306218008871,-0.0887174810000266,0.10264955426731,0.0081469911897015,1.75610990277751,-1.45688231354072,-1.42498445470415,-1.56352479798224,-1.01045505870317,-1.37274161852448,1.36574634505567,-1.6319146532982,-1.51257802555811,-1.42074729593757,-1.55387575907187,-1.28742973765608,1.58502240109952,-0.903089375091435,-0.48247987164346,-1.42974488643736,0.34497427103206,-1.5777691159557,Class_1
-1.22446754744086,-1.01526353171199,-0.91107907524496,-0.731938033211252,-1.21576291335323,1.41283425045654,-0.95028885209632,1.23603434884559,-1.19688142839912,1.2414840311923,-1.40957126399055,-1.37178888868356,-1.30783710204678,-1.14965194230984,-1.29181823525453,0.48220224183139,-1.2118625687809,-0.260395778200559,-1.25934001198652,-1.55819484525731,-1.21869095844859,1.4713842444372,0.109225584835297,-1.00260428644382,-1.45353398418913,0.62247916724487,-1.57170747832083,Class_1
-0.958105443143786,-1.4250053088416,-1.43820171924911,-1.05067359811403,-0.93980955940427,0.863307186448989,-0.50773814037524,2.34127739262203,-1.00509209064545,0.724250748329636,-0.906967810936586,-0.882941696813063,-0.804210681145101,-1.21925038411317,-0.887534336942921,3.48503180677907,-0.948212856158347,-0.977970069138417,-0.838831561692989,-0.918970089812321,-0.852084136008628,0.871895151081428,-0.0678021562962544,-1.14723373400429,-0.906384735898452,1.49575356162754,-0.922101978450066,Class_1
-1.19270310109509,-1.08302682884907,-1.25475726962882,-0.404671992343691,-1.17703261806214,0.610071926738067,-1.57888680263675,2.11406206169722,-1.25805018139198,1.16141224184805,-1.38076308243544,-0.617462326438442,-1.14348453433008,-1.03365453930429,-1.27583336942343,0.405684995688683,-1.12248978484105,-0.40396812903087,-1.24234977157062,-0.560485936420874,-1.17286510564359,1.46490426272629,-1.57014161545357,-0.691614989692019,-0.557477968872514,0.840148734410735,-0.461417518199573,Class_1
