,precision,recall,f1-score,support
Class_1,0.8,0.8275862068965517,0.8135593220338982,29.0
Class_2,0.5882352941176471,0.625,0.6060606060606061,16.0
Class_3,0.8,0.6153846153846154,0.6956521739130435,13.0
Class_4,0.8181818181818182,0.84375,0.8307692307692308,32.0
Class_5,0.6774193548387096,0.8076923076923077,0.7368421052631579,26.0
Class_6,1.0,0.7619047619047619,0.8648648648648648,21.0
accuracy,0.7737226277372263,0.7737226277372263,0.7737226277372263,0.7737226277372263
macro avg,0.7806394111896958,0.7468863153130395,0.7579580504841336,137.0
weighted avg,0.7869086577628247,0.7737226277372263,0.775462340003226,137.0
