,precision,recall,f1-score,support
Class_1,0.6153846153846154,0.625,0.6201550387596899,64.0
Class_2,0.44554455445544555,0.6081081081081081,0.5142857142857142,74.0
Class_3,0.3783783783783784,0.1891891891891892,0.2522522522522523,74.0
Class_4,0.6636363636363637,0.7087378640776699,0.6854460093896715,103.0
Class_5,0.693069306930693,0.8433734939759037,0.7608695652173914,83.0
Class_6,0.0,0.0,0.0,16.0
accuracy,0.5845410628019324,0.5845410628019324,0.5845410628019324,0.5845410628019324
macro avg,0.46600220313091595,0.4957347758918118,0.4721680966507866,414.0
weighted avg,0.5464594452756312,0.5845410628019324,0.5559585625232109,414.0
