,precision,recall,f1-score,support
Class_1,0.576271186440678,0.53125,0.5528455284552846,64.0
Class_2,0.39,0.527027027027027,0.4482758620689655,74.0
Class_3,0.46511627906976744,0.2702702702702703,0.34188034188034183,74.0
Class_4,0.6517857142857143,0.7087378640776699,0.6790697674418605,103.0
Class_5,0.69,0.8313253012048193,0.7540983606557377,83.0
Class_6,0.0,0.0,0.0,16.0
accuracy,0.5676328502415459,0.5676328502415459,0.5676328502415459,0.5676328502415459
macro avg,0.4621955299660266,0.4781017437632978,0.46269497675036503,414.0
weighted avg,0.542424853030905,0.5676328502415459,0.5468309731746975,414.0
