,precision,recall,f1-score,support
Class_1,0.7818181818181819,0.671875,0.7226890756302521,64.0
Class_2,0.5714285714285714,0.6274509803921569,0.5981308411214953,51.0
Class_3,0.5862068965517241,0.6071428571428571,0.5964912280701754,56.0
Class_4,0.75,0.7411764705882353,0.7455621301775148,85.0
Class_5,0.6233766233766234,0.7272727272727273,0.6713286713286714,66.0
Class_6,0.8235294117647058,0.711864406779661,0.7636363636363636,59.0
accuracy,0.6876640419947506,0.6876640419947506,0.6876640419947506,0.6876640419947506
macro avg,0.6893932808233011,0.681130407029273,0.6829730516607454,381.0
weighted avg,0.6968186336564098,0.6876640419947506,0.6900139142697868,381.0
